Link;Step 1;Step 2;Size;tweets;Positive/negative percentage
link;Positivi;Bombshell;224;266;0,842105263
link;Positivi;Cats;447;532;0,840659341
link;Positivi;Star Wars: The Rise of Skywalker;6496;7866;0,825832698
link;Positivi;Little Women;332;364;0,910979228
link;Positivi;Spies in Disguise;313;419;0,746240602
link;Positivi;Uncut Gems;520;578;0,899761337
link;Positivi;The Grudge;308;475;0,648421053
link;Positivi;1917;345;386;0,893782383
link;Positivi;Just Mercy;548;674;0,813148789
link;Positivi;Like a Boss;60;65;0,923076923
link;Positivi;Underwater;312;365;0,854794521
link;Negativi;Bombshell;42;266;0,157894737
link;Negativi;Cats;85;532;0,159340659
link;Negativi;Star Wars: The Rise of Skywalker;1370;7866;0,174167302
link;Negativi;Little Women;32;364;0,089020772
link;Negativi;Spies in Disguise;106;419;0,253759398
link;Negativi;Uncut Gems;58;578;0,100238663
link;Negativi;The Grudge;167;475;0,351578947
link;Negativi;1917;41;386;0,106217617
link;Negativi;Just Mercy;126;674;0,186851211
link;Negativi;Like a Boss;5;65;0,076923077
link;Negativi;Underwater;53;365;0,145205479
